Name,Address,Property Type,Bedrooms,Bathrooms,Square footage,Lot size,Built Year,Listing price,Market value,Status,Listed Date,Number of days on market,Description,HOA Fees,Property Taxes,Garage spaces,Have a pool,Have a fireplace,Location,Primary Agent
Phoenix Desert Vista,876 North Scottsdale Road Scottsdale AZ 85257,Single Family,4,3.5,3500,8500,2008,1150000,1125000,Sold,25/03/25,80,"Desert contemporary home with mountain views, resort-style pool, outdoor kitchen, great room with soaring ceilings, and low-maintenance desert landscaping.",350,11500,3,TRUE,TRUE,,
Boston Back Bay Brownstone,543 Marlborough Street Boston MA 02115,Townhouse,4,3.5,3100,1200,1890,2950000,2875000,Available,12/05/25,37,"Historic Back Bay brownstone with original details, renovated kitchen, multiple fireplaces, private garden, and prime location near Boston Common.",0,35400,0,FALSE,TRUE,,
Charlotte Southpark Manor,765 Cameron Valley Parkway Charlotte NC 28211,Single Family,5,4,4200,9200,2010,875000,850000,Under Contract,28/04/25,51,"Executive home in prestigious SouthPark with two-story foyer, gourmet kitchen, master suite with sitting area, screened porch, and professionally landscaped grounds.",275,14000,3,TRUE,TRUE,,
Las Vegas Strip View Tower,987 Las Vegas Boulevard Las Vegas NV 89109,Condo,2,2,1400,0,2016,695000,680000,Available,08/06/25,10,"High-rise condo with Strip views, modern kitchen, spa-like bathrooms, floor-to-ceiling windows, and luxury building amenities including pool and fitness center.",650,6950,1,TRUE,FALSE,,
San Francisco Telegraph Hill Gem,321 Telegraph Hill Boulevard San Francisco CA 94133,Single Family,3,2.5,2100,2800,1925,3250000,3180000,Available,25/05/25,24,"Charming Telegraph Hill home with Bay views, period details, updated kitchen, private garden, garage parking, and walking distance to North Beach.",0,39000,1,FALSE,TRUE,,
Tampa Bay Waterfront Villa,654 Bayshore Boulevard Tampa FL 33606,Single Family,4,3.5,3800,7500,2005,1450000,1420000,Withdrawn,15/04/25,64,"Waterfront estate with private dock, pool, chef's kitchen, master suite with bay views, outdoor entertaining areas, and mature tropical landscaping.",450,17400,2,TRUE,TRUE,,
Atlanta Buckhead Towers,432 Peachtree Road Atlanta GA 30309,Condo,3,2.5,2000,0,2019,825000,810000,Available,02/06/25,16,"Luxury high-rise condo in Buckhead with city views, premium finishes, gourmet kitchen, spa bathrooms, and building amenities including valet and concierge.",950,8250,2,FALSE,FALSE,,
Chicago Gold Coast Residence,789 North Lake Shore Drive Chicago IL 60611,Condo,2,2,1850,0,2014,1550000,1520000,Sold,20/03/25,85,"Sophisticated Gold Coast condo with lake views, hardwood floors, marble kitchen, luxurious bathrooms, and premium building with doorman service.",1200,18600,1,FALSE,TRUE,,
Houston Heights Historic Home,543 Heights Boulevard Houston TX 77007,Single Family,3,2.5,2400,6500,1920,650000,635000,Available,18/05/25,31,"Restored Heights bungalow with original hardwood floors, updated systems, covered porch, detached garage, and walking distance to Washington Avenue dining.",0,9750,1,FALSE,TRUE,,
Minneapolis Uptown Loft,876 Hennepin Avenue Minneapolis MN 55403,Condo,1,1,900,0,2013,295000,290000,Under Contract,08/05/25,41,"Industrial loft in vibrant Uptown with exposed brick, concrete floors, floor-to-ceiling windows, modern kitchen, and rooftop deck with city views.",225,3540,1,FALSE,FALSE,,
San Diego La Jolla Coastal Retreat,654 Prospect Street La Jolla CA 92037,Single Family,4,3.5,3600,5200,1998,4250000,4150000,Available,30/05/25,19,"Stunning coastal home with ocean views, chef's kitchen, master suite with private deck, infinity pool, outdoor kitchen, and steps to the beach.",0,51000,2,TRUE,TRUE,,
Portland Northwest Heights Manor,321 NW Skyline Boulevard Portland OR 97210,Single Family,5,4.5,4500,12500,2007,1750000,1720000,Available,07/06/25,11,"Spectacular Northwest Heights estate with city and mountain views, wine cellar, gourmet kitchen, master suite with sitting area, and expansive outdoor spaces.",0,35000,3,TRUE,TRUE,,
Phoenix Ahwatukee Oasis,789 East Chandler Heights Road Phoenix AZ 85048,Single Family,4,3,2800,7800,2015,725000,710000,Sold,10/04/25,69,"Contemporary Ahwatukee home with mountain views, open floor plan, gourmet kitchen, master retreat, resort-style backyard with pool and spa.",225,7250,2,TRUE,TRUE,,
Dallas Highland Park Estate,432 Armstrong Parkway Dallas TX 75205,Single Family,6,5.5,5800,15200,2012,3250000,3180000,Available,22/05/25,27,"Magnificent Highland Park estate with grand foyer, chef's kitchen, master suite with sitting room, pool with cabana, and meticulously maintained grounds.",0,48750,4,TRUE,TRUE,,
Virginia Beach Oceanfront Penthouse,567 Atlantic Avenue Virginia Beach VA 23451,Condo,3,3,2600,0,2018,1850000,1810000,Available,12/06/25,6,"Luxurious oceanfront penthouse with panoramic ocean views, gourmet kitchen, spa-like bathrooms, private elevator, and resort-style building amenities.",1500,18500,2,FALSE,FALSE,,
